2494	2428	2370	2316	2278	2253	2162	2132	2041	1923	1800	1782	1714	1604	1437	1395	1353	1312	1095	851
2479	2404	2349	2302	2270	2232	2154	2081	1997	1899	1769	1705	1644	1556	1430	1383	1347	1289	1049	830
2399	2218	2108	2066	2040	1980	1975	1912	1870	1815	1722	1610	1594	1549	1342	1343	1318	1257	999	750
2340	2137	2075	2033	1950	1951	1875	1801	1677	1678	1679	1508	1487	1452	1308	1309	1230	1160	920	709
2255	2085	2053	1947	1924	1925	1867	1802	1663	1581	1582	1464	1454	1371	1295	1296	1120	1068	843	627
2243	2026	1968	1941	1846	1847	1774	1712	1612	1579	1580	1420	1361	1294	1204	1205	1065	1021	749	605
2153	2022	1951	1843	1755	1756	1706	1615	1501	1489	1490	1351	1314	1259	1129	1113	1036	996	718	552
2100	1936	1908	1759	1667	1668	1612	1580	1479	1458	1459	1352	1315	1260	1130	1038	1027	934	629	550
2066	1929	1909	1760	1668	1653	1565	1515	1438	1417	1380	1334	1236	1161	1129	1021	940	864	501	502
2021	1909	1903	1656	1636	1561	1501	1498	1416	1411	1295	1208	1090	1059	1049	969	941	865	483	484
1953	1892	1889	1636	1576	1477	1455	1428	1375	1312	1222	1151	1087	965	966	921	892	800	446	390
1945	1851	1812	1606	1545	1426	1263	1261	1262	1195	1125	1050	996	960	961	869	774	713	447	378
1875	1779	1730	1510	1492	1427	1264	1248	1249	1159	1055	1035	927	844	845	816	767	699	448	365
1732	1659	1653	1469	1356	1336	1200	1126	1127	1081	1007	960	913	775	776	749	703	628	449	288
1604	1583	1575	1397	1343	1305	1196	1097	1098	1038	858	851	833	736	737	699	675	531	450	246
1545	1533	1488	1372	1285	1231	1157	1080	1081	1027	836	826	741	681	682	616	577	479	403	221
1494	1443	1430	1268	1195	1110	1069	1026	1012	934	827	771	702	604	584	554	455	446	353	198
1427	1351	1336	1237	1172	1105	1045	953	938	844	828	772	703	605	518	446	407	339	291	133
1213	1126	1078	988	932	892	801	740	729	727	641	617	540	523	434	366	332	321	238	57
888	845	757	728	687	681	642	551	504	466	443	399	380	306	273	242	224	198	150	53
